sample_index,timestamp_s,u_left_px,v_left_px,u_right_px,v_right_px,disparity_px,overhead_u_px,overhead_v_px,x_stereo_mm,y_stereo_mm,z_stereo_mm,x_robot_mm,y_robot_mm,z_robot_mm,z_ground_mm,model_pred_z_ground_mm,model_residual_mm
1,1779572183.5962052,612.2758178710938,425.13275146484375,563.0404052734375,432.5169982910156,49.23541259765625,1023.08642578125,478.1153259277344,284.6082857375777,168.0158561624156,-393.62900152221664,103.43911789805716,156.32329925085477,37.65749359938701,-62.34250640061299,-61.73940364575765,-0.6031027548553425
2,1779572191.08703,448.02130126953125,438.016845703125,378.7542724609375,439.95318603515625,69.26702880859375,797.1268310546875,407.73626708984375,107.71321309208851,155.7255121105088,-387.543997763982,164.18000289658863,321.5813265578332,52.422006470231125,-47.577993529768875,-48.64960292230269,1.0716093925338157
3,1779572194.2718976,394.1797790527344,329.5118408203125,332.24688720703125,328.2069091796875,61.932891845703125,785.8700561523438,240.1481475830078,70.61403053283702,72.8135158853384,-470.44250127697745,294.9155727169799,324.8535546656077,53.435922365168274,-46.564077634831726,-46.27089300776307,-0.2931846270686549
4,1779572196.9740582,480.18060302734375,301.93817138671875,425.5155334472656,301.05438232421875,54.665069580078125,921.5757446289062,227.61109924316406,164.4186693240252,50.0285827281874,-493.0010789005428,297.34809446843474,227.6444742537094,52.5955848913318,-47.4044151086682,-47.05827455045869,-0.3461405582095125
5,1779572199.6738863,556.1777954101562,285.5390319824219,511.2806701660156,284.8811340332031,44.897125244140625,1062.3193359375,231.5913848876953,266.21875938288173,36.51129419629676,-513.3664720830258,289.1571490625695,125.2727104302079,46.77519997724464,-53.22480002275536,-52.99246305923077,-0.2323369635245882
6,1779572201.775091,531.172607421875,230.00613403320312,489.1500244140625,227.26182556152344,42.0225830078125,1086.030029296875,107.30365753173828,260.51508388975583,-28.68265760234174,-574.5442433705681,381.4759456701206,106.35903676688432,50.01521424874247,-49.98478575125753,-53.37873002318887,3.393944271931339
7,1779572207.2943408,396.75726318359375,259.4795837402344,342.63189697265625,257.5443115234375,54.1253662109375,832.0713500976562,121.02949523925781,83.04368911532316,6.869985072043502,-539.6236957749859,387.8542066325518,287.34567226901845,51.51640914680309,-48.48359085319691,-47.85531476005684,-0.6282760931400659
8,1779572209.630007,345.8966064453125,271.00048828125,290.33538818359375,269.208984375,55.56121826171875,753.9214477539062,125.47210693359375,27.477511292295514,19.098577741727823,-532.7598665664699,392.09412020451197,343.5814392163229,48.4583075071195,-51.5416924928805,-49.53466708843138,-2.0070254044491236
9,1779572211.470261,312.719970703125,232.99185180664062,262.493896484375,230.885986328125,50.22607421875,727.795654296875,35.70402526855469,-8.357920470946093,-23.481349998587966,-585.2500709834923,471.9363560762589,359.46658802951487,42.42622671128106,-57.57377328871894,-55.60253579808915,-1.9712374906297896
10,1779572213.3147213,398.2073059082031,220.80210876464844,348.7926025390625,218.4351348876953,49.414703369140625,864.3991088867188,38.430118560791016,92.19023997695025,-38.19208503831353,-586.776455013942,451.0640723720172,261.1188895825373,50.27970760889135,-49.72029239110865,-50.57118175199359,0.8508893608849419
11,1779572215.5163999,474.0174865722656,216.90272521972656,429.15203857421875,214.13668823242188,44.865447998046875,995.7111206054688,56.28310012817383,190.23802826432515,-44.85768365326859,-596.5153500438294,431.4660751899032,165.532909700455,47.031850965157446,-52.968149034842554,-50.98488892252607,-1.9832601123164864
12,1779572217.742612,507.609375,214.77325439453125,465.53228759765625,211.9475860595703,42.07708740234375,1061.0169677734375,62.88752746582031,237.64758835118354,-48.60797954985547,-599.2063198189431,420.86588240453034,119.53112134009544,47.19938745438565,-52.80061254561435,-53.00127284784021,0.20066030222586306
13,1779572221.0520294,504.8534240722656,200.3893585205078,464.692138671875,197.49258422851562,40.161285400390625,1076.466552734375,26.78076934814453,244.7955046791799,-69.7075120083752,-626.1384866907995,453.1288735228392,103.74754245811528,43.277875725778806,-56.722124274221194,-54.879555024287086,-1.8425692499341082
14,1779572229.2796926,340.1706237792969,226.1007080078125,289.26019287109375,224.32040405273438,50.910430908203125,770.4044189453125,30.95703887939453,23.307291228538926,-31.01427937617005,-579.4993265532444,462.7771274357709,328.8881576385832,51.14127411334728,-48.85872588665272,-53.248755813204305,4.390029926551584
