manifest_row,object_i,class_name,place_result,execution_classification,support_manifest_row,overlap_manifest_rows,inside_bag,target_x_mm,target_y_mm,destination_surface_z_mm,box_center_x_mm,box_center_y_mm,box_center_z_mm,box_size_x_mm,box_size_y_mm,box_size_z_mm
1,1,Chex Mix,placed,manifest_executed_floor,,,True,255.89190932334088,754.6150666509926,-155.0,255.89190932334088,754.6150666509926,-144.09759538635623,138.2161806466818,99.23013330198528,21.804809227287514
2,2,Carmex Lip Balm,placed,manifest_executed_floor_with_aabb_overlap,,1,True,149.27507016559468,767.6885625258286,-155.0,149.27507016559468,767.6885625258286,-151.6927458016112,98.55014033118934,63.083141051657314,6.614508396777566
3,3,Bandaid,placed,manifest_executed_supported_stack,1,,True,255.89190932334088,754.6150666509926,-133.19519077271246,255.89190932334088,754.6150666509926,-107.282947824847,118.6264559309418,71.80187503356404,51.82448589573093
4,4,Dove Deodorant,placed,manifest_executed_supported_stack,3,,True,255.89190932334088,754.6150666509926,-81.37070487698153,255.89190932334088,754.6150666509926,-74.4799808089392,114.43769266355586,47.792542325010864,13.78144813608467
5,5,Pringles,miss,not_placed:miss,,,,255.89190932334088,754.6150666509926,-67.58925674089687,,,,,,
6,6,Lays Chips,miss,not_placed:miss,,,,255.89190932334088,754.6150666509926,34.076649471160835,,,,,,
7,7,Burts Bees,placed,manifest_executed_unmodeled_fallback,,,True,255.89190932334088,754.6150666509926,54.92424964687524,255.89190932334088,754.6150666509926,64.03724449226576,80.96249749570482,54.887359819854495,18.22598969078105
8,8,Lays Chips,miss,not_placed:miss,,,,210.0,755.0,-155.0,,,,,,
9,9,Pringles,placed,manifest_executed_supported_stack_with_boundary_overflow,7,,False,255.89190932334088,754.6150666509926,73.15023933765627,255.89190932334088,754.6150666509926,94.5102998777785,95.0640859470715,44.1259753920869,42.720121080244425
10,10,Carmex Lip Balm,placed,manifest_executed_supported_stack_with_boundary_overflow,9,,False,255.89190932334088,754.6150666509926,115.87036041790071,255.89190932334088,754.6150666509926,120.07563931370498,99.02121082942065,60.35681866379645,8.41055779160854
11,11,Bandaid,placed,manifest_executed_supported_stack_with_boundary_overflow,10,,False,255.89190932334088,754.6150666509926,124.28091820950925,255.89190932334088,754.6150666509926,143.07277131417317,130.8301159865103,86.4610205957419,37.58370620932781
12,12,Dove Deodorant,placed,manifest_executed_supported_stack_with_boundary_overflow,11,,False,255.89190932334088,754.6150666509926,161.86462441883708,255.89190932334088,754.6150666509926,172.0928078782337,113.78614921798905,44.09441885440301,20.456366918793265
13,13,Chex Mix,placed,manifest_executed_supported_stack_with_boundary_overflow,12,,False,255.89190932334088,754.6150666509926,182.32099133763035,255.89190932334088,754.6150666509926,195.20897391136398,130.877163863885,102.69915488652538,25.775965147467296
14,14,Burts Bees,placed,manifest_executed_supported_stack_with_boundary_overflow,13,,False,255.89190932334088,754.6150666509926,208.09695648509762,255.89190932334088,754.6150666509926,218.0303378379586,71.06885921832249,60.05919173524128,19.866762705721975
15,1,Chex Mix,pending,not_placed:pending,,,,,,,,,,,,
