run,figure_groups,folder
run_20260608_094222,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_094222
run_20260608_094617,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_094617
run_20260608_095512,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_095512
run_20260608_100122,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_100122
run_20260608_100616,1,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_100616
run_20260608_100928,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_100928
run_20260608_101557,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_101557
run_20260608_102330,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_102330
run_20260608_102752,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_102752
run_20260608_103405,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_103405
run_20260608_104618,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_104618
run_20260608_105001,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_105001
run_20260608_105326,2,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_105326
run_20260608_105414,2,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_105414
run_20260608_105831,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_105831
run_20260608_110148,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_110148
run_20260608_111219,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_111219
run_20260608_112127,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_112127
run_20260608_112524,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_112524
run_20260608_112815,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_112815
run_20260608_113118,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_113118
run_20260608_113731,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_113731
run_20260608_114105,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_114105
run_20260608_114338,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_114338
run_20260608_114515,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_114515
run_20260608_114710,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_114710
run_20260608_115250,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_115250
run_20260608_115614,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_115614
run_20260608_120208,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_120208
run_20260608_120428,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_120428
run_20260608_120739,2,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_120739
run_20260608_120929,2,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_120929
run_20260608_121511,2,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_121511
run_20260608_121814,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_121814
run_20260608_122405,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_122405
run_20260608_122527GOODONE_ENDOFDAY,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_122527GOODONE_ENDOFDAY
run_20260608_122802,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_122802
run_20260608_123524,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_123524
run_20260608_123813,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_123813
run_20260608_124031,2,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_124031
run_20260608_124212,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_124212
run_20260608_125004,1,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_125004
run_20260608_125752,1,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_125752
run_20260608_125835,1,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_125835
run_20260608_125935,3,C:\Users\elipp\OneDrive\Documents\Grocery_Buildup\paper_figure_sources\paper_figures_by_run\run_20260608_125935
