run,manifest_present,rows,placed
run_20260608_094222,True,5,5
run_20260608_094617,True,13,12
run_20260608_095512,True,3,2
run_20260608_100122,True,3,3
run_20260608_100616,False,0,0
run_20260608_100928,True,6,6
run_20260608_101557,True,6,6
run_20260608_102330,True,4,4
run_20260608_102752,True,6,6
run_20260608_103405,True,7,4
run_20260608_104618,True,5,3
run_20260608_105001,True,5,4
run_20260608_105326,False,1,0
run_20260608_105414,False,1,0
run_20260608_105831,True,4,3
run_20260608_110148,True,2,1
run_20260608_111219,True,4,4
run_20260608_112127,True,2,1
run_20260608_112524,True,1,1
run_20260608_112815,True,4,2
run_20260608_113118,True,6,6
run_20260608_113731,True,2,2
run_20260608_114105,True,3,3
run_20260608_114338,True,2,2
run_20260608_114515,True,2,2
run_20260608_114710,True,1,1
run_20260608_115250,True,4,4
run_20260608_115614,True,1,1
run_20260608_120208,True,6,6
run_20260608_120428,True,4,2
run_20260608_120739,True,1,0
run_20260608_120929,True,1,0
run_20260608_121511,True,1,0
run_20260608_121814,True,12,12
run_20260608_122405,True,2,1
run_20260608_122527GOODONE_ENDOFDAY,True,5,5
run_20260608_122802,True,17,16
run_20260608_123524,True,5,5
run_20260608_123813,True,7,7
run_20260608_124031,False,1,0
run_20260608_124212,True,15,11
run_20260608_125004,False,0,0
run_20260608_125752,False,0,0
run_20260608_125835,False,0,0
run_20260608_125935,True,15,14
