run_timestamp,folder,datetime,date,time,script,place_scene,total_objects,placed_count,miss_count,pending_count,success_rate,early_termination,has_recovery_pass,placed_boxes_in_bag,bagstate_delta,unique_classes,num_unique_classes,mean_detection_confidence,mean_grasp_offset_mm,num_place_positions,watchdog_flags
20260531_145854,run_20260531_145854,2026-05-31T14:58:54,2026-05-31,14:58:54,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,8,8,0,0,1.0,False,True,2,6,Bandaid; Burts Bees; Carmex Lip Balm; Dove Deodorant; Lays Chips; Pringles,6,0.9603,130.0,4,WD-2; WD-9
20260531_151504,run_20260531_151504,2026-05-31T15:15:04,2026-05-31,15:15:04,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,1,1,0,0,1.0,False,False,1,0,Bandaid,1,0.9224,130.0,1,
20260531_152413,run_20260531_152413,2026-05-31T15:24:13,2026-05-31,15:24:13,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,4,3,0,1,0.75,True,False,3,0,Bandaid; Dove Deodorant; Lays Chips; Pringles,4,0.9686,130.0,2,
20260531_152747,run_20260531_152747,2026-05-31T15:27:47,2026-05-31,15:27:47,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,1,0,0,1,0.0,True,False,0,0,Dove Deodorant,1,0.981,130.0,0,
20260531_153023,run_20260531_153023,2026-05-31T15:30:23,2026-05-31,15:30:23,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,13,13,0,0,1.0,False,True,10,3,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.8746,130.0,4,WD-2; WD-8; WD-9
20260531_154435,run_20260531_154435,2026-05-31T15:44:35,2026-05-31,15:44:35,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,2,1,0,1,0.5,True,False,1,0,Chex Mix; Dove Deodorant,2,0.9749,130.0,1,
20260531_164143,run_20260531_164143,2026-05-31T16:41:43,2026-05-31,16:41:43,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,14,13,0,1,0.9286,True,True,8,5,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9483,130.0,5,WD-2; WD-9
20260531_165144,run_20260531_165144,2026-05-31T16:51:44,2026-05-31,16:51:44,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,8,6,0,2,0.75,True,False,6,0,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9182,130.92,2,
20260531_165708,run_20260531_165708,2026-05-31T16:57:08,2026-05-31,16:57:08,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,30,26,3,1,0.8667,True,True,3,23,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9628,130.0,13,WD-2; WD-7; WD-8; WD-9
20260531_171358,run_20260531_171358,2026-05-31T17:13:58,2026-05-31,17:13:58,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,16,16,0,0,1.0,False,True,9,7,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9608,130.0,5,WD-2; WD-6; WD-9
20260531_172135,run_20260531_172135,2026-05-31T17:21:35,2026-05-31,17:21:35,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,22,19,2,1,0.8636,True,True,6,13,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9592,130.0,7,WD-2; WD-9
20260531_173417,run_20260531_173417,2026-05-31T17:34:17,2026-05-31,17:34:17,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,1,0,0,1,0.0,True,False,0,0,Bandaid,1,0.9448,130.0,0,
20260531_173537,run_20260531_173537,2026-05-31T17:35:37,2026-05-31,17:35:37,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,6,6,0,0,1.0,False,False,6,0,Bandaid; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,6,0.9544,130.0,4,
20260531_173928,run_20260531_173928,2026-05-31T17:39:28,2026-05-31,17:39:28,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,25,21,4,0,0.84,False,True,2,19,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9177,130.0,9,WD-2; WD-7; WD-8; WD-9
20260531_175844,run_20260531_175844,2026-05-31T17:58:44,2026-05-31,17:58:44,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,7,7,0,0,1.0,False,False,7,0,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9307,130.0,2,
20260531_180309,run_20260531_180309,2026-05-31T18:03:09,2026-05-31,18:03:09,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,14,14,0,0,1.0,False,True,7,7,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9293,130.0,4,WD-2; WD-9
20260531_181242,run_20260531_181242,2026-05-31T18:12:42,2026-05-31,18:12:42,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,5,5,0,0,1.0,False,False,5,0,Bandaid; Chex Mix; Dove Deodorant; Lays Chips; Pringles,5,0.9485,130.0,3,
20260531_181800,run_20260531_181800,2026-05-31T18:18:00,2026-05-31,18:18:00,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,4,4,0,0,1.0,False,False,4,0,Bandaid; Chex Mix; Dove Deodorant; Pringles,4,0.9692,130.0,1,
20260531_181952,run_20260531_181952,2026-05-31T18:19:52,2026-05-31,18:19:52,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,3,2,1,0,0.6667,False,False,3,-1,Bandaid; Chex Mix; Dove Deodorant,3,0.9637,130.0,1,WD-2; WD-7
20260531_182310,run_20260531_182310,2026-05-31T18:23:10,2026-05-31,18:23:10,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,11,10,0,1,0.9091,True,True,6,4,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9692,130.0,6,WD-2; WD-8; WD-9
20260531_182948,run_20260531_182948,2026-05-31T18:29:48,2026-05-31,18:29:48,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,10,9,0,1,0.9,True,True,6,3,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.972,130.0,4,WD-2; WD-8; WD-9
20260531_183430,run_20260531_183430,2026-05-31T18:34:30,2026-05-31,18:34:30,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,21,20,1,0,0.9524,False,True,7,13,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9432,130.0,8,WD-2; WD-9
20260531_184606,run_20260531_184606,2026-05-31T18:46:06,2026-05-31,18:46:06,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,11,9,1,1,0.8182,True,True,2,7,Bandaid; Burts Bees; Carmex Lip Balm; Chex Mix; Dove Deodorant; Lays Chips; Pringles,7,0.9621,130.0,6,WD-2; WD-7; WD-9
20260531_185404,run_20260531_185404,2026-05-31T18:54:04,2026-05-31,18:54:04,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,3,2,0,1,0.6667,True,False,2,0,Bandaid; Chex Mix; Pringles,3,0.9598,130.0,1,
20260531_185559,run_20260531_185559,2026-05-31T18:55:59,2026-05-31,18:55:59,autonomous_missed_pick_recovery.py,bag_local_aabb_joint,2,2,0,0,1.0,False,False,2,0,Bandaid; Dove Deodorant,2,0.9656,130.0,1,
